Date,Consumption
01/01/2016,276.291
02/01/2016,294.678
03/01/2016,306.3096
04/01/2016,370.0566
05/01/2016,367.3998
06/01/2016,373.1184
07/01/2016,371.6766
08/01/2016,368.874
09/01/2016,328.455
10/01/2016,322.9632
11/01/2016,386.1108
12/01/2016,386.5644
13/01/2016,399.8322
14/01/2016,411.561
15/01/2016,412.209
16/01/2016,363.609
17/01/2016,376.7796
18/01/2016,478.4508
19/01/2016,491.1516
20/01/2016,484.3638
21/01/2016,487.8468
22/01/2016,445.9698
23/01/2016,350.7786
24/01/2016,341.9334
25/01/2016,380.9592
26/01/2016,363.7062
27/01/2016,347.8464
28/01/2016,365.1156
29/01/2016,351.054
30/01/2016,311.7528
31/01/2016,310.1166
01/02/2016,342.387
02/02/2016,351.2808
03/02/2016,375.1596
04/02/2016,382.4982
05/02/2016,354.132
06/02/2016,299.7
07/02/2016,303.102
08/02/2016,344.8494
09/02/2016,359.6886
10/02/2016,385.9002
11/02/2016,383.1462
12/02/2016,374.6898
13/02/2016,327.0618
14/02/2016,326.1222
15/02/2016,396.495
16/02/2016,421.0542
17/02/2016,407.4138
18/02/2016,397.6938
19/02/2016,381.024
20/02/2016,316.791
21/02/2016,298.0638
22/02/2016,350.3574
23/02/2016,379.5174
24/02/2016,385.8678
25/02/2016,397.2402
26/02/2016,384.183
27/02/2016,335.5182
28/02/2016,335.7936
29/02/2016,398.1474
01/03/2016,388.7352
02/03/2016,377.9298
03/03/2016,384.3126
04/03/2016,370.6074
05/03/2016,327.321
06/03/2016,329.913
07/03/2016,402.0678
08/03/2016,411.3504
09/03/2016,388.4436
10/03/2016,381.429
11/03/2016,369.4248
12/03/2016,325.2798
13/03/2016,325.7334
14/03/2016,377.7354
15/03/2016,386.1108
16/03/2016,383.5512
17/03/2016,372.4866
18/03/2016,363.5604
19/03/2016,322.623
20/03/2016,317.0826
21/03/2016,365.9094
22/03/2016,363.9006
23/03/2016,363.3822
24/03/2016,346.5342
25/03/2016,299.1654
26/03/2016,262.44
27/03/2016,267.462
28/03/2016,284.0022
29/03/2016,335.3562
30/03/2016,337.8996
31/03/2016,338.1264
01/04/2016,329.265
02/04/2016,268.4988
03/04/2016,253.9188
04/04/2016,295.731
05/04/2016,304.2846
06/04/2016,308.9178
07/04/2016,319.0752
08/04/2016,321.1002
09/04/2016,272.6622
10/04/2016,266.0202
11/04/2016,306.6336
12/04/2016,320.031
13/04/2016,327.5478
14/04/2016,318.3138
15/04/2016,303.6366
16/04/2016,262.0998
17/04/2016,274.266
18/04/2016,323.7084
19/04/2016,320.3064
20/04/2016,319.545
21/04/2016,310.5216
22/04/2016,302.2434
23/04/2016,274.8168
24/04/2016,289.3158
25/04/2016,348.1056
26/04/2016,358.2306
27/04/2016,358.0038
28/04/2016,350.0982
29/04/2016,322.1856
30/04/2016,267.4458
01/05/2016,261.306
02/05/2016,304.8678
03/05/2016,312.0768
04/05/2016,303.7824
05/05/2016,250.3872
06/05/2016,250.1604
07/05/2016,223.7868
08/05/2016,224.8074
09/05/2016,262.1808
10/05/2016,271.0098
11/05/2016,268.4178
12/05/2016,273.2292
13/05/2016,267.9804
14/05/2016,237.5244
15/05/2016,232.2918
16/05/2016,249.7716
17/05/2016,292.2318
18/05/2016,286.092
19/05/2016,295.5204
20/05/2016,278.154
21/05/2016,231.8868
22/05/2016,232.2432
23/05/2016,299.3436
24/05/2016,306.4716
25/05/2016,297.0756
26/05/2016,247.6818
27/05/2016,250.4358
28/05/2016,222.426
29/05/2016,223.6248
30/05/2016,268.191
31/05/2016,274.2336
01/06/2016,278.9964
02/06/2016,272.1762
03/06/2016,263.7036
04/06/2016,224.7912
05/06/2016,224.4834
06/06/2016,261.5004
07/06/2016,260.1558
08/06/2016,264.9186
09/06/2016,270.1674
10/06/2016,259.4106
11/06/2016,227.0592
12/06/2016,231.0444
13/06/2016,274.9788
14/06/2016,278.883
15/06/2016,283.7916
16/06/2016,284.553
17/06/2016,274.6224
18/06/2016,238.1076
19/06/2016,240.7158
20/06/2016,273.0834
21/06/2016,281.3454
22/06/2016,278.2512
23/06/2016,265.8744
24/06/2016,258.5682
25/06/2016,225.7632
26/06/2016,229.0032
27/06/2016,271.2852
28/06/2016,275.724
29/06/2016,274.0716
30/06/2016,276.3882
01/07/2016,260.6904
02/07/2016,234.2682
03/07/2016,237.1356
04/07/2016,272.0952
05/07/2016,271.6578
06/07/2016,271.593
07/07/2016,270.4266
08/07/2016,259.6698
09/07/2016,225.2772
10/07/2016,222.0696
11/07/2016,270.5724
12/07/2016,280.3086
13/07/2016,283.824
14/07/2016,275.2056
15/07/2016,268.8552
16/07/2016,231.2388
17/07/2016,230.1696
18/07/2016,273.8124
19/07/2016,271.9332
20/07/2016,271.7874
21/07/2016,278.2512
22/07/2016,259.9128
23/07/2016,222.1506
24/07/2016,219.0078
25/07/2016,265.4856
26/07/2016,270.0864
27/07/2016,271.35
28/07/2016,268.3368
29/07/2016,250.452
30/07/2016,215.3142
31/07/2016,214.3422
01/08/2016,246.4506
02/08/2016,256.365
03/08/2016,249.4314
04/08/2016,257.0292
05/08/2016,248.9616
06/08/2016,213.0948
07/08/2016,207.0198
08/08/2016,240.4242
09/08/2016,254.7774
10/08/2016,261.4518
11/08/2016,261.0306
12/08/2016,249.5124
13/08/2016,214.9254
14/08/2016,215.0226
15/08/2016,238.788
16/08/2016,262.3752
17/08/2016,270.945
18/08/2016,275.7078
19/08/2016,265.356
20/08/2016,223.0578
21/08/2016,223.9326
22/08/2016,283.8888
23/08/2016,295.2126
24/08/2016,295.5366
25/08/2016,289.9152
26/08/2016,275.481
27/08/2016,226.8486
28/08/2016,223.6086
29/08/2016,287.7282
30/08/2016,298.242
31/08/2016,294.8076
01/09/2016,293.5926
02/09/2016,280.1142
03/09/2016,234.09
04/09/2016,233.3772
05/09/2016,298.2906
06/09/2016,306.5202
07/09/2016,304.3656
08/09/2016,294.3054
09/09/2016,294.4188
10/09/2016,248.9616
11/09/2016,244.458
12/09/2016,298.728
13/09/2016,295.4556
14/09/2016,302.0814
15/09/2016,303.1668
16/09/2016,294.111
17/09/2016,247.7304
18/09/2016,253.7082
19/09/2016,315.6732
20/09/2016,319.0914
21/09/2016,312.7734
22/09/2016,310.5216
23/09/2016,292.7016
24/09/2016,252.3474
25/09/2016,248.6214
26/09/2016,307.9944
27/09/2016,310.4082
28/09/2016,288.0684
29/09/2016,285.2334
30/09/2016,294.921
01/10/2016,267.1218
02/10/2016,261.2412
03/10/2016,276.8904
04/10/2016,313.8426
05/10/2016,329.1678
06/10/2016,344.088
07/10/2016,340.0218
08/10/2016,298.4364
09/10/2016,303.6852
10/10/2016,358.344
11/10/2016,360.1422
12/10/2016,365.5368
13/10/2016,354.6828
14/10/2016,336.8466
15/10/2016,301.401
16/10/2016,297.918
17/10/2016,354.2454
18/10/2016,355.023
19/10/2016,368.2908
20/10/2016,373.2156
21/10/2016,363.5766
22/10/2016,317.7144
23/10/2016,315.171
24/10/2016,362.8476
25/10/2016,374.2524
26/10/2016,370.5102
27/10/2016,354.2778
28/10/2016,341.7714
29/10/2016,318.3624
30/10/2016,306.828
31/10/2016,344.7198
01/11/2016,333.0234
02/11/2016,378.2376
03/11/2016,396.009
04/11/2016,378.7236
05/11/2016,330.0426
06/11/2016,342.144
07/11/2016,419.499
08/11/2016,433.3662
09/11/2016,430.0128
10/11/2016,424.278
11/11/2016,415.3356
12/11/2016,374.463
13/11/2016,379.3554
14/11/2016,427.3074
15/11/2016,408.5316
16/11/2016,383.9724
17/11/2016,367.0758
18/11/2016,371.7414
19/11/2016,341.1234
20/11/2016,323.2386
21/11/2016,365.2776
22/11/2016,381.348
23/11/2016,386.937
24/11/2016,394.47
25/11/2016,398.0178
26/11/2016,357.4044
27/11/2016,358.2144
28/11/2016,443.0862
29/11/2016,454.1832
30/11/2016,430.0452
01/12/2016,410.7186
02/12/2016,421.1838
03/12/2016,398.3904
04/12/2016,400.464
05/12/2016,465.264
06/12/2016,467.9532
07/12/2016,448.173
08/12/2016,416.5182
09/12/2016,401.3388
10/12/2016,347.2794
11/12/2016,342.8244
12/12/2016,410.2974
13/12/2016,422.8524
14/12/2016,419.58
15/12/2016,422.3178
16/12/2016,423.5814
17/12/2016,379.3878
18/12/2016,372.0654
19/12/2016,420.5034
20/12/2016,428.7168
21/12/2016,415.1088
22/12/2016,399.5892
23/12/2016,354.3102
24/12/2016,279.6282
25/12/2016,264.6756
26/12/2016,283.7916
27/12/2016,329.5728
28/12/2016,352.5606
29/12/2016,365.2614
30/12/2016,364.7754
31/12/2016,337.9482
01/01/2017,339.5196
02/01/2017,405.7614
03/01/2017,407.3976
04/01/2017,419.0454
05/01/2017,457.164
06/01/2017,462.7692
07/01/2017,417.15
